customer_id,signup_date,customer_segment
1,2024-04-12,Returning
2,2024-12-14,New
3,2024-09-27,Returning
4,2024-04-16,VIP
5,2024-03-12,Returning
6,2024-07-07,New
7,2024-01-21,Returning
8,2024-04-12,New
9,2024-05-01,Returning
10,2024-08-02,VIP
11,2024-11-26,New
12,2024-03-28,VIP
13,2024-04-09,VIP
14,2024-12-25,New
15,2024-05-31,New
16,2024-05-10,New
17,2024-05-29,New
18,2024-11-04,New
19,2024-09-14,Returning
20,2024-12-09,New
21,2024-10-20,New
22,2024-07-10,Returning
23,2024-10-03,New
24,2024-06-09,Returning
25,2024-11-09,New
26,2024-01-22,New
27,2024-09-09,Returning
28,2024-08-23,Returning
29,2024-12-10,Returning
30,2024-02-18,Returning
31,2024-02-28,Returning
32,2024-06-18,New
33,2024-07-06,New
34,2024-09-27,Returning
35,2024-07-08,Returning
36,2024-06-23,VIP
37,2024-02-20,New
38,2024-12-29,New
39,2024-02-24,Returning
40,2024-08-31,New
41,2024-11-15,VIP
42,2024-05-10,Returning
43,2024-11-02,New
44,2024-05-14,Returning
45,2024-01-21,Returning
46,2024-11-24,New
47,2024-06-15,VIP
48,2024-09-30,Returning
49,2024-03-29,Returning
50,2024-11-11,New
51,2024-01-14,Returning
52,2024-08-29,New
53,2024-09-21,New
54,2024-12-11,VIP
55,2024-02-22,New
56,2024-12-05,New
57,2024-04-01,VIP
58,2024-09-20,VIP
59,2024-02-04,Returning
60,2024-07-24,Returning
61,2024-03-21,New
62,2024-02-19,New
63,2024-12-25,New
64,2024-01-02,Returning
65,2024-02-23,Returning
66,2024-04-15,Returning
67,2024-09-16,Returning
68,2024-11-05,New
69,2024-07-09,New
70,2024-08-05,New
71,2024-02-13,Returning
72,2024-06-10,New
73,2024-07-20,Returning
74,2024-09-26,New
75,2024-12-16,New
76,2024-10-30,New
77,2024-09-27,Returning
78,2024-08-02,Returning
79,2024-09-08,New
80,2024-07-08,New
81,2024-10-22,Returning
82,2024-07-31,New
83,2024-07-26,Returning
84,2024-08-24,Returning
85,2024-12-03,New
86,2024-02-22,New
87,2024-10-06,VIP
88,2024-08-04,New
89,2024-09-08,New
90,2024-07-06,Returning
91,2024-02-10,VIP
92,2024-06-05,VIP
93,2024-01-15,Returning
94,2024-10-27,New
95,2024-03-05,New
96,2024-12-10,Returning
97,2024-11-22,Returning
98,2024-01-09,New
99,2024-12-09,VIP
100,2024-05-08,New
101,2024-05-15,New
102,2024-03-03,New
103,2024-05-18,New
104,2024-03-21,New
105,2024-06-11,New
106,2024-10-15,New
107,2024-09-17,Returning
108,2024-08-18,Returning
109,2024-02-10,Returning
110,2024-01-28,VIP
111,2024-05-14,New
112,2024-07-19,New
113,2024-11-23,Returning
114,2024-09-24,New
115,2024-02-02,VIP
116,2024-02-17,New
117,2024-03-02,VIP
118,2024-08-03,New
119,2024-10-19,Returning
120,2024-04-08,Returning
121,2024-06-20,VIP
122,2024-12-25,New
123,2024-08-01,Returning
124,2024-02-04,VIP
125,2024-08-14,Returning
126,2024-04-10,Returning
127,2024-05-10,Returning
128,2024-09-13,New
129,2024-01-05,Returning
130,2024-08-05,Returning
131,2024-09-11,VIP
132,2024-12-24,New
133,2024-10-09,New
134,2024-07-25,VIP
135,2024-01-15,Returning
136,2024-12-11,New
137,2024-02-11,Returning
138,2024-06-27,New
139,2024-03-03,New
140,2024-12-17,New
141,2024-08-18,New
142,2024-08-28,Returning
143,2024-02-21,New
144,2024-04-05,VIP
145,2024-08-09,VIP
146,2024-08-18,Returning
147,2024-08-24,Returning
148,2024-05-22,New
149,2024-06-19,Returning
150,2024-01-29,Returning
151,2024-02-05,New
152,2024-01-13,VIP
153,2024-06-08,Returning
154,2024-11-22,VIP
155,2024-07-05,Returning
156,2024-08-30,Returning
157,2024-03-26,New
158,2024-10-10,VIP
159,2024-03-06,Returning
160,2024-06-18,New
161,2024-02-14,New
162,2024-03-02,New
163,2024-05-13,Returning
164,2024-10-10,VIP
165,2024-01-28,New
166,2024-04-17,Returning
167,2024-02-13,New
168,2024-12-05,VIP
169,2024-10-12,Returning
170,2024-11-26,Returning
171,2024-05-07,New
172,2024-12-13,New
173,2024-08-18,New
174,2024-07-08,New
175,2024-08-12,Returning
176,2024-10-09,Returning
177,2024-04-30,VIP
178,2024-04-25,VIP
179,2024-08-20,Returning
180,2024-09-15,Returning
181,2024-12-24,VIP
182,2024-07-16,Returning
183,2024-05-16,New
184,2024-11-13,New
185,2024-06-13,New
186,2024-08-12,VIP
187,2024-11-02,Returning
188,2024-08-21,New
189,2024-06-20,Returning
190,2024-05-31,Returning
191,2024-11-10,New
192,2024-06-08,New
193,2024-04-05,Returning
194,2024-08-20,Returning
195,2024-06-28,Returning
196,2024-04-22,Returning
197,2024-11-13,Returning
198,2024-02-21,Returning
199,2024-09-24,Returning
200,2024-10-21,Returning
201,2024-04-22,New
202,2024-04-10,New
203,2024-04-22,New
204,2024-03-21,Returning
205,2024-07-05,Returning
206,2024-04-22,Returning
207,2024-01-02,New
208,2024-05-09,New
209,2024-08-07,New
210,2024-02-23,New
211,2024-12-08,Returning
212,2024-08-11,New
213,2024-08-12,New
214,2024-05-05,VIP
215,2024-05-09,New
216,2024-02-22,Returning
217,2024-06-20,Returning
218,2024-08-05,New
219,2024-06-08,Returning
220,2024-07-16,Returning
221,2024-09-03,VIP
222,2024-11-19,New
223,2024-07-21,VIP
224,2024-07-02,New
225,2024-05-02,New
226,2024-09-11,New
227,2024-10-20,VIP
228,2024-10-06,New
229,2024-11-20,New
230,2024-04-07,Returning
231,2024-07-16,New
232,2024-08-27,New
233,2024-05-23,New
234,2024-04-06,New
235,2024-07-19,New
236,2024-05-03,New
237,2024-07-05,Returning
238,2024-11-21,New
239,2024-12-14,New
240,2024-09-15,Returning
241,2024-05-27,New
242,2024-09-08,Returning
243,2024-12-11,New
244,2024-05-26,New
245,2024-05-27,New
246,2024-12-17,New
247,2024-07-17,New
248,2024-11-03,New
249,2024-05-07,New
250,2024-02-08,New
251,2024-12-03,New
252,2024-12-25,New
253,2024-05-08,New
254,2024-09-23,Returning
255,2024-05-30,Returning
256,2024-10-24,New
257,2024-04-08,Returning
258,2024-09-19,Returning
259,2024-09-08,New
260,2024-05-23,Returning
261,2024-12-11,VIP
262,2024-04-21,New
263,2024-02-29,New
264,2024-01-02,Returning
265,2024-10-30,Returning
266,2024-09-10,New
267,2024-05-19,New
268,2024-02-06,New
269,2024-06-08,New
270,2024-01-09,Returning
271,2024-08-20,New
272,2024-04-08,New
273,2024-05-26,Returning
274,2024-10-30,New
275,2024-07-26,New
276,2024-05-10,Returning
277,2024-05-31,Returning
278,2024-02-23,Returning
279,2024-04-29,Returning
280,2024-06-09,New
281,2024-04-25,New
282,2024-03-15,Returning
283,2024-04-22,New
284,2024-04-13,New
285,2024-12-05,New
286,2024-09-10,New
287,2024-08-14,New
288,2024-04-21,New
289,2024-04-08,New
290,2024-06-01,New
291,2024-12-14,Returning
292,2024-12-03,Returning
293,2024-07-12,Returning
294,2024-11-05,Returning
295,2024-06-11,New
296,2024-07-26,New
297,2024-06-17,Returning
298,2024-06-09,Returning
299,2024-03-08,Returning
300,2024-10-15,New
301,2024-10-03,New
302,2024-10-30,New
303,2024-05-14,New
304,2024-07-13,Returning
305,2024-05-07,Returning
306,2024-02-02,New
307,2024-06-24,VIP
308,2024-01-22,Returning
309,2024-08-25,New
310,2024-06-06,New
311,2024-02-07,New
312,2024-08-17,New
313,2024-12-30,New
314,2024-02-20,New
315,2024-09-20,New
316,2024-10-09,New
317,2024-01-27,Returning
318,2024-08-13,New
319,2024-10-03,Returning
320,2024-10-12,New
321,2024-04-06,VIP
322,2024-10-10,New
323,2024-11-12,New
324,2024-10-30,VIP
325,2024-05-26,Returning
326,2024-01-04,Returning
327,2024-02-04,New
328,2024-07-10,New
329,2024-02-18,Returning
330,2024-01-17,VIP
331,2024-06-20,Returning
332,2024-08-07,Returning
333,2024-06-06,New
334,2024-02-15,Returning
335,2024-01-06,New
336,2024-04-08,New
337,2024-08-20,New
338,2024-02-06,Returning
339,2024-10-06,New
340,2024-12-14,New
341,2024-10-28,Returning
342,2024-06-29,New
343,2024-04-04,Returning
344,2024-04-08,New
345,2024-07-06,New
346,2024-04-25,Returning
347,2024-07-09,New
348,2024-09-09,New
349,2024-06-09,New
350,2024-09-12,New
351,2024-11-18,VIP
352,2024-05-07,New
353,2024-01-18,Returning
354,2024-10-07,New
355,2024-08-10,Returning
356,2024-02-23,Returning
357,2024-02-27,Returning
358,2024-11-18,New
359,2024-12-25,New
360,2024-06-22,New
361,2024-10-06,VIP
362,2024-04-23,Returning
363,2024-10-14,VIP
364,2024-12-07,New
365,2024-05-30,Returning
366,2024-05-06,VIP
367,2024-06-03,New
368,2024-09-29,New
369,2024-04-13,Returning
370,2024-10-25,Returning
371,2024-09-02,Returning
372,2024-06-24,New
373,2024-02-08,Returning
374,2024-06-18,New
375,2024-09-03,New
376,2024-01-26,New
377,2024-12-20,Returning
378,2024-11-01,Returning
379,2024-01-13,Returning
380,2024-11-11,New
381,2024-11-08,Returning
382,2024-02-05,New
383,2024-06-21,Returning
384,2024-01-20,New
385,2024-11-16,New
386,2024-09-20,New
387,2024-05-21,New
388,2024-05-22,Returning
389,2024-04-01,Returning
390,2024-12-19,New
391,2024-11-17,Returning
392,2024-10-14,New
393,2024-08-02,Returning
394,2024-12-07,VIP
395,2024-02-20,Returning
396,2024-06-01,New
397,2024-07-04,VIP
398,2024-03-03,Returning
399,2024-07-08,New
400,2024-05-04,New
401,2024-05-29,Returning
402,2024-11-09,Returning
403,2024-02-27,Returning
404,2024-12-07,Returning
405,2024-10-31,Returning
406,2024-06-28,New
407,2024-06-18,New
408,2024-11-21,New
409,2024-09-27,Returning
410,2024-02-23,New
411,2024-04-10,Returning
412,2024-09-20,Returning
413,2024-02-22,Returning
414,2024-02-29,New
415,2024-04-17,Returning
416,2024-01-05,New
417,2024-04-12,Returning
418,2024-07-14,New
419,2024-09-18,New
420,2024-12-30,Returning
421,2024-12-15,New
422,2024-02-16,New
423,2024-12-20,Returning
424,2024-11-06,Returning
425,2024-11-03,Returning
426,2024-05-23,Returning
427,2024-09-25,Returning
428,2024-05-03,New
429,2024-04-15,New
430,2024-06-06,New
431,2024-05-26,VIP
432,2024-05-24,Returning
433,2024-04-29,New
434,2024-11-14,New
435,2024-10-01,VIP
436,2024-04-01,New
437,2024-02-27,Returning
438,2024-12-11,Returning
439,2024-08-16,Returning
440,2024-04-26,New
441,2024-11-13,Returning
442,2024-10-05,VIP
443,2024-05-06,Returning
444,2024-05-08,Returning
445,2024-02-27,VIP
446,2024-05-01,Returning
447,2024-01-01,New
448,2024-08-26,Returning
449,2024-10-16,Returning
450,2024-04-05,New
451,2024-05-05,Returning
452,2024-04-27,VIP
453,2024-02-17,VIP
454,2024-03-29,New
455,2024-08-24,New
456,2024-09-28,VIP
457,2024-07-07,Returning
458,2024-07-10,New
459,2024-03-09,VIP
460,2024-10-04,Returning
461,2024-12-14,Returning
462,2024-09-03,Returning
463,2024-03-16,New
464,2024-06-02,New
465,2024-05-23,New
466,2024-03-26,Returning
467,2024-07-03,New
468,2024-10-11,New
469,2024-08-07,New
470,2024-03-09,Returning
471,2024-02-16,VIP
472,2024-04-03,New
473,2024-08-25,New
474,2024-07-22,Returning
475,2024-08-05,New
476,2024-12-06,New
477,2024-02-08,New
478,2024-04-09,New
479,2024-10-15,New
480,2024-09-10,New
481,2024-08-09,New
482,2024-12-22,VIP
483,2024-01-23,New
484,2024-09-06,Returning
485,2024-01-10,Returning
486,2024-09-02,New
487,2024-11-20,Returning
488,2024-04-09,New
489,2024-10-16,VIP
490,2024-06-28,New
491,2024-08-10,New
492,2024-09-06,New
493,2024-05-26,VIP
494,2024-04-05,Returning
495,2024-09-13,Returning
496,2024-11-20,New
497,2024-01-04,Returning
498,2024-01-16,New
499,2024-10-06,Returning
500,2024-12-01,New
